STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407651191 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],129.107300,
call count,5,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,290298500000
CPU_CLK_UNHALTED_CORE,FIXC1,486822900000
CPU_CLK_UNHALTED_REF,FIXC2,437716300000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,503259800
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,57192840000
TABLE,Region InterpoladorSL,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],129.1073,
Runtime unhalted [s],142.8617,
Clock [MHz],3789.9494,
CPI,1.6770,
DP MFLOP/s,1775.8455,
AVX DP MFLOP/s,1771.9475,
Packed MUOPS/s,442.9869,
Scalar MUOPS/s,3.8980,
Vectorization ratio,99.1277,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407651191 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.129943,
call count,5,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,161046700
CPU_CLK_UNHALTED_CORE,FIXC1,171586000
CPU_CLK_UNHALTED_REF,FIXC2,154294800
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,92390
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,31426520
TABLE,Region InterpoladorNewton,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.1299,
Runtime unhalted [s],0.0504,
Clock [MHz],3789.5330,
CPI,1.0654,
DP MFLOP/s,968.1013,
AVX DP MFLOP/s,967.3903,
Packed MUOPS/s,241.8476,
Scalar MUOPS/s,0.7110,
Vectorization ratio,99.7069,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407651191 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],5.518202,
call count,5,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,39934490000
CPU_CLK_UNHALTED_CORE,FIXC1,20850210000
CPU_CLK_UNHALTED_REF,FIXC2,18748450000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,9166140000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region MinimosQuadrados,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],5.5182,
Runtime unhalted [s],6.1186,
Clock [MHz],3789.6596,
CPI,0.5221,
DP MFLOP/s,1661.0737,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1661.0737,
Vectorization ratio,0,
