STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40799252 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000018,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,110604
CPU_CLK_UNHALTED_CORE,FIXC1,71979
CPU_CLK_UNHALTED_REF,FIXC2,64468
L2_TRANS_ALL_REQUESTS,PMC0,5503
L2_RQSTS_MISS,PMC1,1713
TABLE,Region InterpoladorSL,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],1.806112e-05,
Runtime unhalted [s],2.112064e-05,
Clock [MHz],3805.0489,
CPI,0.6508,
L2 request rate,0.0498,
L2 miss rate,0.0155,
L2 miss ratio,0.3113,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40799252 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000005,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,15030
CPU_CLK_UNHALTED_CORE,FIXC1,25979
CPU_CLK_UNHALTED_REF,FIXC2,23288
L2_TRANS_ALL_REQUESTS,PMC0,3781
L2_RQSTS_MISS,PMC1,1050
TABLE,Region InterpoladorNewton,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],5.154369e-06,
Runtime unhalted [s],7.622963e-06,
Clock [MHz],3801.7965,
CPI,1.7285,
L2 request rate,0.2516,
L2 miss rate,0.0699,
L2 miss ratio,0.2777,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40799252 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000055,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,269007
CPU_CLK_UNHALTED_CORE,FIXC1,184655
CPU_CLK_UNHALTED_REF,FIXC2,165998
L2_TRANS_ALL_REQUESTS,PMC0,8041
L2_RQSTS_MISS,PMC1,2383
TABLE,Region MinimosQuadrados,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0001,
Clock [MHz],3791.0268,
CPI,0.6864,
L2 request rate,0.0299,
L2 miss rate,0.0089,
L2 miss ratio,0.2964,
