STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407994191 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000658,
call count,4,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,5753137
CPU_CLK_UNHALTED_CORE,FIXC1,2132464
CPU_CLK_UNHALTED_REF,FIXC2,1917000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,239764
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,631740
TABLE,Region InterpoladorSL,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0007,
Runtime unhalted [s],0.0006,
Clock [MHz],3791.0406,
CPI,0.3707,
DP MFLOP/s,4202.3508,
AVX DP MFLOP/s,3838.1756,
Packed MUOPS/s,959.5439,
Scalar MUOPS/s,364.1753,
Vectorization ratio,72.4885,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407994191 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000114,
call count,4,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,153893
CPU_CLK_UNHALTED_CORE,FIXC1,207984
CPU_CLK_UNHALTED_REF,FIXC2,187724
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,4192
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,13812
TABLE,Region InterpoladorNewton,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0001,
Clock [MHz],3775.7999,
CPI,1.3515,
DP MFLOP/s,519.2269,
AVX DP MFLOP/s,482.6084,
Packed MUOPS/s,120.6521,
Scalar MUOPS/s,36.6184,
Vectorization ratio,76.7163,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407994191 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.002261,
call count,4,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,14574540
CPU_CLK_UNHALTED_CORE,FIXC1,8296313
CPU_CLK_UNHALTED_REF,FIXC2,7462668
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,3434052
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region MinimosQuadrados,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0023,
Runtime unhalted [s],0.0024,
Clock [MHz],3788.6968,
CPI,0.5692,
DP MFLOP/s,1518.6145,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1518.6145,
Vectorization ratio,0,
