STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796732 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000009,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,65662
CPU_CLK_UNHALTED_CORE,FIXC1,62197
CPU_CLK_UNHALTED_REF,FIXC2,54954
L2_TRANS_ALL_REQUESTS,PMC0,6571
L2_RQSTS_MISS,PMC1,1921
TABLE,Region InterpoladorSL,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],9.222443e-06,
Runtime unhalted [s],1.825047e-05,
Clock [MHz],3857.1413,
CPI,0.9472,
L2 request rate,0.1001,
L2 miss rate,0.0293,
L2 miss ratio,0.2923,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796732 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000002,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,15628
CPU_CLK_UNHALTED_CORE,FIXC1,32800
CPU_CLK_UNHALTED_REF,FIXC2,29536
L2_TRANS_ALL_REQUESTS,PMC0,4148
L2_RQSTS_MISS,PMC1,950
TABLE,Region InterpoladorNewton,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],1.830404e-06,
Runtime unhalted [s],9.624505e-06,
Clock [MHz],3784.5791,
CPI,2.0988,
L2 request rate,0.2654,
L2 miss rate,0.0608,
L2 miss ratio,0.2290,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796732 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000030,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,99994
CPU_CLK_UNHALTED_CORE,FIXC1,97941
CPU_CLK_UNHALTED_REF,FIXC2,87756
L2_TRANS_ALL_REQUESTS,PMC0,8211
L2_RQSTS_MISS,PMC1,2337
TABLE,Region MinimosQuadrados,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],2.958400e-05,
Runtime unhalted [s],2.873883e-05,
Clock [MHz],3803.4975,
CPI,0.9795,
L2 request rate,0.0821,
L2 miss rate,0.0234,
L2 miss ratio,0.2846,
