STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992832 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.463018,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,2644482000
CPU_CLK_UNHALTED_CORE,FIXC1,1714648000
CPU_CLK_UNHALTED_REF,FIXC2,1541700000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,17992310
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,497376900
TABLE,Region InterpoladorSL,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.4630,
Runtime unhalted [s],0.5031,
Clock [MHz],3790.3017,
CPI,0.6484,
DP MFLOP/s,4335.6844,
AVX DP MFLOP/s,4296.8256,
Packed MUOPS/s,1074.2064,
Scalar MUOPS/s,38.8588,
Vectorization ratio,96.5089,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992832 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.006393,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,6109136
CPU_CLK_UNHALTED_CORE,FIXC1,7607426
CPU_CLK_UNHALTED_REF,FIXC2,6835880
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,13638
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,1120473
TABLE,Region InterpoladorNewton,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0064,
Runtime unhalted [s],0.0022,
Clock [MHz],3792.6431,
CPI,1.2453,
DP MFLOP/s,703.2166,
AVX DP MFLOP/s,701.0832,
Packed MUOPS/s,175.2708,
Scalar MUOPS/s,2.1333,
Vectorization ratio,98.7975,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992832 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.186903,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1285020000
CPU_CLK_UNHALTED_CORE,FIXC1,705897100
CPU_CLK_UNHALTED_REF,FIXC2,634652700
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,290302600
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region MinimosQuadrados,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.1869,
Runtime unhalted [s],0.2071,
Clock [MHz],3790.5649,
CPI,0.5493,
DP MFLOP/s,1553.2243,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1553.2243,
Vectorization ratio,0,
