STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997501 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],7.386577,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,20598090000
CPU_CLK_UNHALTED_CORE,FIXC1,27744000000
CPU_CLK_UNHALTED_REF,FIXC2,24948780000
L2_TRANS_ALL_REQUESTS,PMC0,6528422000
L2_RQSTS_MISS,PMC1,1542774000
TABLE,Region InterpoladorSL,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],7.3866,
Runtime unhalted [s],8.1409,
Clock [MHz],3789.8239,
CPI,1.3469,
L2 request rate,0.3169,
L2 miss rate,0.0749,
L2 miss ratio,0.2363,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997501 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.021262,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,23478910
CPU_CLK_UNHALTED_CORE,FIXC1,26899680
CPU_CLK_UNHALTED_REF,FIXC2,24187850
L2_TRANS_ALL_REQUESTS,PMC0,4062035
L2_RQSTS_MISS,PMC1,914680
TABLE,Region InterpoladorNewton,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0213,
Runtime unhalted [s],0.0079,
Clock [MHz],3790.0864,
CPI,1.1457,
L2 request rate,0.1730,
L2 miss rate,0.0390,
L2 miss ratio,0.2252,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997501 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.776393,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,5446481000
CPU_CLK_UNHALTED_CORE,FIXC1,2932331000
CPU_CLK_UNHALTED_REF,FIXC2,2636324000
L2_TRANS_ALL_REQUESTS,PMC0,33398090
L2_RQSTS_MISS,PMC1,2149868
TABLE,Region MinimosQuadrados,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.7764,
Runtime unhalted [s],0.8604,
Clock [MHz],3790.6482,
CPI,0.5384,
L2 request rate,0.0061,
L2 miss rate,0.0004,
L2 miss ratio,0.0644,
