STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997733 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],4.947107,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,13714070000
CPU_CLK_UNHALTED_CORE,FIXC1,18565970000
CPU_CLK_UNHALTED_REF,FIXC2,16694420000
L2_LINES_IN_ALL,PMC0,759370000
L2_TRANS_L2_WB,PMC1,717980500
TABLE,Region InterpoladorSL,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],4.9471,
Runtime unhalted [s],5.4478,
Clock [MHz],3790.0558,
CPI,1.3538,
L3 load bandwidth [MBytes/s],9823.8587,
L3 load data volume [GBytes],48.5997,
L3 evict bandwidth [MBytes/s],9288.4088,
L3 evict data volume [GBytes],45.9508,
L3 bandwidth [MBytes/s],19112.2674,
L3 data volume [GBytes],94.5504,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997733 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.014169,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,15571040
CPU_CLK_UNHALTED_CORE,FIXC1,17743270
CPU_CLK_UNHALTED_REF,FIXC2,15951710
L2_LINES_IN_ALL,PMC0,489785
L2_TRANS_L2_WB,PMC1,91665
TABLE,Region InterpoladorNewton,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.0142,
Runtime unhalted [s],0.0052,
Clock [MHz],3790.7550,
CPI,1.1395,
L3 load bandwidth [MBytes/s],2212.3520,
L3 load data volume [GBytes],0.0313,
L3 evict bandwidth [MBytes/s],414.0495,
L3 evict data volume [GBytes],0.0059,
L3 bandwidth [MBytes/s],2626.4015,
L3 data volume [GBytes],0.0372,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997733 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.511669,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,3595681000
CPU_CLK_UNHALTED_CORE,FIXC1,1933491000
CPU_CLK_UNHALTED_REF,FIXC2,1738279000
L2_LINES_IN_ALL,PMC0,1155968
L2_TRANS_L2_WB,PMC1,1106974
TABLE,Region MinimosQuadrados,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.5117,
Runtime unhalted [s],0.5673,
Clock [MHz],3790.7223,
CPI,0.5377,
L3 load bandwidth [MBytes/s],144.5893,
L3 load data volume [GBytes],0.0740,
L3 evict bandwidth [MBytes/s],138.4611,
L3 evict data volume [GBytes],0.0708,
L3 bandwidth [MBytes/s],283.0505,
L3 data volume [GBytes],0.1448,
