STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407985481 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.455900,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,2644485000
CPU_CLK_UNHALTED_CORE,FIXC1,1688977000
CPU_CLK_UNHALTED_REF,FIXC2,1518529000
L2_LINES_IN_ALL,PMC0,154167600
L2_TRANS_L2_WB,PMC1,133904400
TABLE,Region InterpoladorSL,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.4559,
Runtime unhalted [s],0.4956,
Clock [MHz],3790.5164,
CPI,0.6387,
L3 load bandwidth [MBytes/s],21642.2850,
L3 load data volume [GBytes],9.8667,
L3 evict bandwidth [MBytes/s],18797.7058,
L3 evict data volume [GBytes],8.5699,
L3 bandwidth [MBytes/s],40439.9908,
L3 data volume [GBytes],18.4366,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407985481 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.006253,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,6112443
CPU_CLK_UNHALTED_CORE,FIXC1,7560510
CPU_CLK_UNHALTED_REF,FIXC2,6795836
L2_LINES_IN_ALL,PMC0,161585
L2_TRANS_L2_WB,PMC1,78795
TABLE,Region InterpoladorNewton,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.0063,
Runtime unhalted [s],0.0022,
Clock [MHz],3791.4553,
CPI,1.2369,
L3 load bandwidth [MBytes/s],1653.7355,
L3 load data volume [GBytes],0.0103,
L3 evict bandwidth [MBytes/s],806.4244,
L3 evict data volume [GBytes],0.0050,
L3 bandwidth [MBytes/s],2460.1600,
L3 data volume [GBytes],0.0154,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407985481 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.187594,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1285022000
CPU_CLK_UNHALTED_CORE,FIXC1,707839800
CPU_CLK_UNHALTED_REF,FIXC2,636414300
L2_LINES_IN_ALL,PMC0,479677
L2_TRANS_L2_WB,PMC1,451160
TABLE,Region MinimosQuadrados,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.1876,
Runtime unhalted [s],0.2077,
Clock [MHz],3790.4676,
CPI,0.5508,
L3 load bandwidth [MBytes/s],163.6480,
L3 load data volume [GBytes],0.0307,
L3 evict bandwidth [MBytes/s],153.9190,
L3 evict data volume [GBytes],0.0289,
L3 bandwidth [MBytes/s],317.5670,
L3 data volume [GBytes],0.0596,
