STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407989334 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],94.397260,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,210695800000
CPU_CLK_UNHALTED_CORE,FIXC1,355918300000
CPU_CLK_UNHALTED_REF,FIXC2,320015500000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,299972000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,41622920000
TABLE,Region InterpoladorSL,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],94.3973,
Runtime unhalted [s],104.4364,
Clock [MHz],3790.3344,
CPI,1.6893,
DP MFLOP/s,1766.9120,
AVX DP MFLOP/s,1763.7342,
Packed MUOPS/s,440.9336,
Scalar MUOPS/s,3.1778,
Vectorization ratio,99.2845,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407989334 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.074685,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,95193830
CPU_CLK_UNHALTED_CORE,FIXC1,98349480
CPU_CLK_UNHALTED_REF,FIXC2,88430360
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,45092
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,18734980
TABLE,Region InterpoladorNewton,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0747,
Runtime unhalted [s],0.0289,
Clock [MHz],3790.2591,
CPI,1.0331,
DP MFLOP/s,1004.0111,
AVX DP MFLOP/s,1003.4074,
Packed MUOPS/s,250.8518,
Scalar MUOPS/s,0.6038,
Vectorization ratio,99.7599,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407989334 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],3.298967,
call count,2,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,24015600000
CPU_CLK_UNHALTED_CORE,FIXC1,12469460000
CPU_CLK_UNHALTED_REF,FIXC2,11210510000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,5525730000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region MinimosQuadrados,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],3.2990,
Runtime unhalted [s],3.6589,
Clock [MHz],3790.7095,
CPI,0.5192,
DP MFLOP/s,1674.9880,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1674.9880,
Vectorization ratio,0,
