STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40799214 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],38.244900,
call count,4,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,91706290000
CPU_CLK_UNHALTED_CORE,FIXC1,144011200000
CPU_CLK_UNHALTED_REF,FIXC2,129491200000
L2_TRANS_ALL_REQUESTS,PMC0,31477540000
L2_RQSTS_MISS,PMC1,6531778000
TABLE,Region InterpoladorSL,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],38.2449,
Runtime unhalted [s],42.2569,
Clock [MHz],3790.1343,
CPI,1.5704,
L2 request rate,0.3432,
L2 miss rate,0.0712,
L2 miss ratio,0.2075,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40799214 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.058790,
call count,4,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,69620160
CPU_CLK_UNHALTED_CORE,FIXC1,76257550
CPU_CLK_UNHALTED_REF,FIXC2,68581030
L2_TRANS_ALL_REQUESTS,PMC0,13239340
L2_RQSTS_MISS,PMC1,2870164
TABLE,Region InterpoladorNewton,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0588,
Runtime unhalted [s],0.0224,
Clock [MHz],3789.4609,
CPI,1.0953,
L2 request rate,0.1902,
L2 miss rate,0.0412,
L2 miss ratio,0.2168,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40799214 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],2.337918,
call count,4,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,16705080000
CPU_CLK_UNHALTED_CORE,FIXC1,8830197000
CPU_CLK_UNHALTED_REF,FIXC2,7938710000
L2_TRANS_ALL_REQUESTS,PMC0,92148370
L2_RQSTS_MISS,PMC1,6477891
TABLE,Region MinimosQuadrados,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],2.3379,
Runtime unhalted [s],2.5910,
Clock [MHz],3790.6967,
CPI,0.5286,
L2 request rate,0.0055,
L2 miss rate,0.0004,
L2 miss ratio,0.0703,
