STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.406285942 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],8.079649,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,22073550000
CPU_CLK_UNHALTED_CORE,FIXC1,30352490000
CPU_CLK_UNHALTED_REF,FIXC2,27291400000
L2_TRANS_ALL_REQUESTS,PMC0,7014264000
L2_RQSTS_MISS,PMC1,1652754000
TABLE,Region InterpoladorSL,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],8.0796,
Runtime unhalted [s],8.9107,
Clock [MHz],3788.3458,
CPI,1.3751,
L2 request rate,0.3178,
L2 miss rate,0.0749,
L2 miss ratio,0.2356,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.406285942 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.022088,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,24595390
CPU_CLK_UNHALTED_CORE,FIXC1,27971880
CPU_CLK_UNHALTED_REF,FIXC2,25139820
L2_TRANS_ALL_REQUESTS,PMC0,4500393
L2_RQSTS_MISS,PMC1,998378
TABLE,Region InterpoladorNewton,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0221,
Runtime unhalted [s],0.0082,
Clock [MHz],3790.0121,
CPI,1.1373,
L2 request rate,0.1830,
L2 miss rate,0.0406,
L2 miss ratio,0.2218,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.406285942 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.804969,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,5649732000
CPU_CLK_UNHALTED_CORE,FIXC1,3041325000
CPU_CLK_UNHALTED_REF,FIXC2,2734270000
L2_TRANS_ALL_REQUESTS,PMC0,34982980
L2_RQSTS_MISS,PMC1,2410570
TABLE,Region MinimosQuadrados,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.8050,
Runtime unhalted [s],0.8929,
Clock [MHz],3788.8075,
CPI,0.5383,
L2 request rate,0.0062,
L2 miss rate,0.0004,
L2 miss ratio,0.0689,
