STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992464 GHz,
TABLE,Region InterpoladorSL,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],7.404124,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,20598090000
CPU_CLK_UNHALTED_CORE,FIXC1,27811790000
CPU_CLK_UNHALTED_REF,FIXC2,25006910000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,71978200
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,3989505000
TABLE,Region InterpoladorSL,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],7.4041,
Runtime unhalted [s],8.1608,
Clock [MHz],3790.2472,
CPI,1.3502,
DP MFLOP/s,2165.0094,
AVX DP MFLOP/s,2155.2881,
Packed MUOPS/s,538.8220,
Scalar MUOPS/s,9.7214,
Vectorization ratio,98.2278,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992464 GHz,
TABLE,Region InterpoladorNewton,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.021123,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,23473690
CPU_CLK_UNHALTED_CORE,FIXC1,26770140
CPU_CLK_UNHALTED_REF,FIXC2,24063750
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,27138
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,4490973
TABLE,Region InterpoladorNewton,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.0211,
Runtime unhalted [s],0.0079,
Clock [MHz],3791.2809,
CPI,1.1404,
DP MFLOP/s,851.7149,
AVX DP MFLOP/s,850.4302,
Packed MUOPS/s,212.6075,
Scalar MUOPS/s,1.2847,
Vectorization ratio,99.3994,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407992464 GHz,
TABLE,Region MinimosQuadrados,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.776938,
call count,3,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,5446477000
CPU_CLK_UNHALTED_CORE,FIXC1,2935694000
CPU_CLK_UNHALTED_REF,FIXC2,2639324000
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,1236171000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region MinimosQuadrados,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.7769,
Runtime unhalted [s],0.8614,
Clock [MHz],3790.6763,
CPI,0.5390,
DP MFLOP/s,1591.0812,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,1591.0812,
Vectorization ratio,0,
